1732919295;-17;0.2;1549;CQ;PY2ROE;GG56;
1732919115;-18;0.2;1554;CT7ATA;PY2ROE;RR73;
1732914465;-18;0.2;2020;9M2RSI;PY2ATI;GG58;
1732914015;-18;0.2;1041;CQ;PU9FDO;GG29;
1732913955;-22;0.2;1040;CQ;PU9FDO;GG29;
1732913685;-18;1.3;1731;KB2DJJ;PY2SAO;RR73;
1732911255;-18;0.6;1628;8R1AK;PY1WL;GG87;
1732911165;-18;0.6;1630;8R1AK;PY1WL;GG87;
1732906935;-16;0.2;1487;AA1SU;PY2GZ;GG66;
1732906905;-21;1.4;1737;CQ;PY2SAO;GG66;
1732906635;-21;0.2;1484;AA1SU;PY2GZ;GG66;
1732906575;-17;0.2;1484;SV2YC;PY2GZ;GG66;
1732906545;-15;0.2;1484;XE1XZQ;PY2GZ;73;
1732906515;-14;0.2;1484;XE1XZQ;PY2GZ;R-24;
1732906485;-15;0.2;1485;XE1XZQ;PY2GZ;GG66;
1732906335;-12;0.2;1485;GM0VRP;PY2GZ;R-23;
1732906305;-19;0.2;1485;GM0VRP;PY2GZ;GG66;
1732906170;-20;0.2;1487;CE2FME;PY2GZ;GG66;
1732905945;-17;0.2;1487;AA1SU;PY2GZ;GG66;
1732905675;-19;0.2;1484;KD4AVP;PY2GZ;GG66;
1732905585;-19;0.2;1491;KE2APO;PY2GZ;GG66;
1732905420;-16;0.2;1371;IT9DID;PY2GZ;73;
1732905390;-20;0.2;1372;IT9DID;PY2GZ;R-13;
1732905360;-20;0.2;1372;IT9DID;PY2GZ;GG66;
1732905315;-21;0.2;1374;SV2YC;PY2GZ;GG66;
1732905285;-20;0.2;1374;IK0HTP;PY2GZ;73;
1732905225;-19;0.2;1374;IK0HTP;PY2GZ;GG66;
1732904970;-20;0.2;1491;LU9RBE;PY2GZ;GG66;
1732904655;-16;0.2;1371;EE3FJP;PY2GZ;GG66;
1732904520;-18;0.2;1371;EB5BZM;PY2GZ;R-14;
1732904490;-14;0.2;1371;EB5BZM;PY2GZ;GG66;
1732904460;-16;0.2;1370;EB5BZM;PY2GZ;GG66;
1732904415;-18;0.2;1371;G4IFX;PY2GZ;73;
1732904355;-19;0.2;1370;G4IFX;PY2GZ;GG66;
1732904310;-14;0.2;1371;LU9RBE;PY2GZ;GG66;
1732903395;-15;0.6;1376;8R1AK;PY2GZ;GG66;
1732902405;-16;0.9;1738;CQ;PY2SAO;GG66;
1732901505;-20;0.9;1739;CQ;PY2SAO;GG66;
1732901235;-20;0.9;1740;CQ;PY2SAO;GG66;
1732901205;-21;0.8;1740;CQ;PY2SAO;GG66;
1732901175;-20;0.8;1739;CQ;PY2SAO;GG66;
1732897980;-19;0.3;2042;IK7IMO;PY2LSW;RR73;
1732897950;-19;0.4;2042;IK7IMO;PY2LSW;-22;
